Species,Habitat,Leafing_Habitat,Palisade,Palisade,Cell_Surf_Area,Cell_Volume,P_length,P_width,P_SA/V,P_Ames/A,S_Ames/A,P_thick,Thick,Amax,stomata_density,epid_aba,epid_ada,IAStot/leaf,LMA,H_arml,H_armnum,chl/pal,osmotic_full,pot_loss,rwc_loss,cap_full,cap_loss,xylem_area,xylem_diam,Huber,trich_dens,trich_cov,trich_type,VLD_tot,3rd_width,VLD_min
V_veitchii,cold_temperate,semi_deciduous,1,2,,,56.221,15.853,0.269,13.56,15.464,52.476,187.182,12.87,149.322553,12.88879621,14.28116779,0.292022776,82.04893855,0,0,0.031614539,-1.244426298,-1.617799046,88.86320641,0.07076956,0.136525757,0.022655222,0.296973722,1.197879374,17.45455726,57.36118688,Anemone_10,6.487001762,0.015075167,6.905771578
V_bitchiuense,cold_temperate,deciduous,1,2,,,90.993,18.251,0.236,19.258,9.416,90.448,235.903,11.076,,28.84447105,33.68709787,0.404030202,81.75282924,0,0,0.022901853,-1.044179187,-1.445144478,89.69007905,0.072553853,0.128143357,0.068239333,0.4483505,2.288581693,11.27101405,24.21816357,Anemone_10,6.15540543,0.02691225,6.02359648
V_prunifolium,cold_temperate,deciduous,1,2,3507.241,16347.576,58.489,20.272,0.221,12.32,12.968,58.709,176.883,10.938,,11.80972493,13.2444909,0.186297074,62.4784477,0,0,0.024852173,-1.302205372,-1.640135458,92.2673564,0.047979617,0.122185375,0.051758667,0.380189833,2.142655144,0,0,none,6.28788465,0.014179833,6.026111213
V_burejaeticum,cold_temperate,deciduous,1,2,2658.042223,8927.881318,58.489,14.536,0.298,11.391,9.086,57.554,211.137,12.64,,14.12203613,16.27143913,0.525634566,73.78822199,0,0,0.041191327,-0.861155133,-1.272645683,88.28007144,0.102723625,0.122801767,0.038753667,0.347980333,2.51104625,2.863990662,1.527155593,Whiplike_1,5.675536116,0.022195625,5.489299862
V_carlesii,cold_temperate,deciduous,1,2,3720.848397,14305.37107,71.724,16.544,0.26,12.891,11.169,67.424,235.57,10.326,,11.1469267,17.40431035,0.387604793,88.26955814,0,0,0.029061572,-1.061740905,-1.420638585,89.74972838,0.073583565,0.128290585,0.0481245,0.3546175,1.637671837,8.548989933,17.64359144,Anemone_10,6.961376135,0.028179583,6.991125606
V_lentago,cold_temperate,deciduous,1,2,,,53.074,17.896,0.25,11.206,18.151,50.278,179.091,12.527,99.97378907,10.88108452,13.93853148,0.251900864,61.65795329,0,0,0.027282271,-1.087326931,-1.475726836,88.30849297,0.081771437,0.154214066,0.031794167,0.306248167,1.554830175,0,0,none,5.75961142,0.011248333,5.567696118
V_rhytidophyllum,tropical,evergreen,1,2,1810.011789,4986.642135,48.723,11.857,0.363,17.503,16.498,49.478,247.662,11.487,,8.518584042,10.99079071,0.147143687,114.6307433,0,0,0.040183963,-1.055922924,-1.374075435,90.41061967,0.073200719,0.146481558,0.066918667,0.4659775,1.785571518,53.96480043,107.555326,Anemone_10,5.611313633,0.020513333,6.30257414
V_cassinoides,cold_temperate,deciduous,1,2,5925.395,18209.123,81.135,18.584,0.233,15.582,15.387,82.054,220.146,13.331,,9.385249586,15.31548069,0.356846223,80.99030891,0,0,0.019935686,-1.366375009,-1.944819262,91.10460644,0.051349276,0.099451053,0.027367833,0.312407917,1.589727051,0,0,none,6.741322718,0.025094583,7.081843629
V_lantana,cold_temperate,deciduous,1,2,2479.133,5554.635,50.449,13.437,0.311,16.649,8.951,61.664,174.817,14.099,,12.42988464,14.35884577,0.347649056,62.70149009,0,0,0.044507604,-1.209556555,-1.61733032,88.86145749,0.071694115,0.104205055,0.036917833,0.4422165,1.067386772,4.577874838,9.241157936,Anemone_4,6.405163753,0.011391667,6.134602795
